term,code,label,alias_group,priority,notes
tăng huyết áp,I10,Essential hypertension,hypertension,1,V0 common diagnosis
cao huyết áp,I10,Essential hypertension,hypertension,1,alias
đái tháo đường,E11.9,Type 2 diabetes mellitus without complications,diabetes,1,V0 common diagnosis
tiểu đường,E11.9,Type 2 diabetes mellitus without complications,diabetes,1,alias
suy tim,I50.9,Heart failure unspecified,heart_failure,1,V0 common diagnosis
bệnh thận mạn,N18.9,Chronic kidney disease unspecified,chronic_kidney_disease,1,V0 common diagnosis
bệnh thận mãn,N18.9,Chronic kidney disease unspecified,chronic_kidney_disease,1,alias
xơ gan,K74.6,Other and unspecified cirrhosis of liver,cirrhosis,1,V0 common diagnosis
ung thư,C80.1,Malignant neoplasm unspecified,cancer,2,broad diagnosis
viêm dạ dày,K29.7,Gastritis unspecified,gastritis,1,V0 common diagnosis
sỏi ống mật chủ,K80.5,Calculus of bile duct without cholangitis or cholecystitis,bile_duct_stone,1,V0 diagnosis seed
sỏi đoạn cuối ống mật chủ,K80.5,Calculus of bile duct without cholangitis or cholecystitis,bile_duct_stone,1,V0 diagnosis seed
rung nhĩ,I48.9,Atrial fibrillation and atrial flutter unspecified,atrial_fibrillation,1,V0 common diagnosis
nhồi máu cơ tim,I21.9,Acute myocardial infarction unspecified,myocardial_infarction,1,V0 common diagnosis
bệnh phổi tắc nghẽn mạn tính,J44.9,Chronic obstructive pulmonary disease unspecified,copd,1,V0 common diagnosis
bệnh phổi tắc nghẽn mãn tính,J44.9,Chronic obstructive pulmonary disease unspecified,copd,1,alias
trào ngược dạ dày thực quản,K21.9,Gastro-esophageal reflux disease without esophagitis,gerd,1,V0 diagnosis seed
bệnh trào ngược dạ dày,K21.9,Gastro-esophageal reflux disease without esophagitis,gerd,1,alias
bệnh trào ngược dạ dày thực quản,K21.9,Gastro-esophageal reflux disease without esophagitis,gerd,1,alias
bệnh trào ngược dạ dày- thực quản,K21.9,Gastro-esophageal reflux disease without esophagitis,gerd,1,alias
bệnh tim mạch do xơ vữa động mạch,I25.10,Atherosclerotic heart disease of native coronary artery without angina,ascvd,1,V0 common diagnosis
tăng lipid máu,E78.5,Hyperlipidemia unspecified,hyperlipidemia,1,V0 common diagnosis
béo phì,E66.9,Obesity unspecified,obesity,1,V0 common diagnosis
viêm gan,K75.9,Inflammatory liver disease unspecified,hepatitis,1,V0 common diagnosis
bệnh gút,M10.9,Gout unspecified,gout,1,V0 diagnosis seed
gút,M10.9,Gout unspecified,gout,1,alias
suy thận,N19,Unspecified kidney failure,renal_failure,1,V0 common diagnosis
viêm bể thận,N12,Tubulo-interstitial nephritis not specified as acute or chronic,pyelonephritis,1,V0 common diagnosis
nhiễm khuẩn đường tiết niệu,N39.0,Urinary tract infection site not specified,uti,1,V0 common diagnosis
nhiễm trùng đường tiết niệu,N39.0,Urinary tract infection site not specified,uti,1,alias
