term,code,label,alias_group,priority,notes
amlodipine,308135,Amlodipine 10 MG Oral Tablet,amlodipine,1,ABOUT example
amlodipine 10 mg po daily,308135,Amlodipine 10 MG Oral Tablet,amlodipine,1,ABOUT exact example
aspirin,243670,Aspirin 81 MG Oral Tablet,aspirin,1,ingredient fallback
aspirin 81 mg po daily,243670,Aspirin 81 MG Oral Tablet,aspirin,1,ABOUT exact example
aspirin 325mg,212033,Aspirin 325 MG Oral Tablet,aspirin,1,V0 common strength
aspirin 325mg x 1,212033,Aspirin 325 MG Oral Tablet,aspirin,1,V0 common strength
metoprolol,866436,Metoprolol Succinate 50 MG Extended Release Oral Tablet,metoprolol,1,ingredient fallback
metoprolol 25mg po bid,866436,Metoprolol Succinate 50 MG Extended Release Oral Tablet,metoprolol,2,V0 common span
metoprolol succinate 100mg daily,866414,Metoprolol Succinate 100 MG Extended Release Oral Tablet,metoprolol,1,V0 strength
metoprolol succinate xl 50 mg po daily,866436,Metoprolol Succinate 50 MG Extended Release Oral Tablet,metoprolol,1,ABOUT exact example
atenolol,197380,Atenolol 50 MG Oral Tablet,atenolol,1,V0 common drug
atenolol trong,197380,Atenolol 50 MG Oral Tablet,atenolol,2,typo alias
atenololtrong,197380,Atenolol 50 MG Oral Tablet,atenolol,2,raw typo alias
doxycycline,197700,Doxycycline 100 MG Oral Tablet,doxycycline,1,V0 common drug
omeprazole,198051,Omeprazole 20 MG Delayed Release Oral Capsule,omeprazole,1,V0 common drug
coumadin,855332,Warfarin Sodium 5 MG Oral Tablet,warfarin,1,brand alias
warfarin,855332,Warfarin Sodium 5 MG Oral Tablet,warfarin,1,generic
tylenol,313782,Acetaminophen 325 MG Oral Tablet,acetaminophen,1,brand alias
acetaminophen,313782,Acetaminophen 325 MG Oral Tablet,acetaminophen,1,generic
acetaminophen 500mg,198440,Acetaminophen 500 MG Oral Tablet,acetaminophen,1,V0 strength
acetaminophen 325-650 mg po q6h:prn,313782,Acetaminophen 325 MG Oral Tablet,acetaminophen,1,ABOUT exact example
ibuprofen,310965,Ibuprofen 200 MG Oral Tablet,ibuprofen,1,generic
advil,310965,Ibuprofen 200 MG Oral Tablet,ibuprofen,1,brand alias
levofloxacin,311296,Levofloxacin 750 MG Oral Tablet,levofloxacin,1,V0 common drug
levofloxacin 750mg iv,311296,Levofloxacin 750 MG Oral Tablet,levofloxacin,2,V0 route differs
vancomycin,313570,Vancomycin 1000 MG Injection,vancomycin,1,V0 common drug
morphine,7052,Morphine,morphine,1,ingredient fallback
insulin,5856,Insulin,insulin,1,ingredient fallback
furosemide,4603,Furosemide,furosemide,1,ingredient fallback
bumetanide,1808,Bumetanide,bumetanide,1,ingredient fallback
carvedilol,200031,Carvedilol 6.25 MG Oral Tablet,carvedilol,1,V0 common drug
rosuvastatin,859749,Rosuvastatin calcium 20 MG Oral Tablet,rosuvastatin,1,V0 seed drug
pravastatin,904475,Pravastatin Sodium 40 MG Oral Tablet,pravastatin,1,ABOUT example
pravastatin 40 mg po daily,904475,Pravastatin Sodium 40 MG Oral Tablet,pravastatin,1,ABOUT exact example
bactrim,198335,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet,bactrim,1,brand combo
sulfamethoxazole trimethoprim,198335,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet,bactrim,1,generic combo
guaifenesin,392085,Guaifenesin 100 MG/5 ML Oral Solution,guaifenesin,1,ABOUT example
guaifenesin ml po q6h:prn,392085,Guaifenesin 100 MG/5 ML Oral Solution,guaifenesin,1,ABOUT exact example
nystatin,7597,Nystatin,nystatin,1,ABOUT example
nystatin oral suspension 5 ml po qid:prn,7597,Nystatin,nystatin,1,ABOUT exact example
docusate sodium,1099279,Docusate Sodium 100 MG Oral Capsule,docusate,1,ABOUT example
docusate sodium 100 mg po bid,1099279,Docusate Sodium 100 MG Oral Capsule,docusate,1,ABOUT exact example
senna,312935,Sennosides 8.6 MG Oral Tablet,senna,1,ABOUT example
senna 8.6 mg po bid:prn,312935,Sennosides 8.6 MG Oral Tablet,senna,1,ABOUT exact example
clonazepam,197527,Clonazepam 0.5 MG Oral Tablet,clonazepam,1,ABOUT example
clonazepam 0.5 mg po qam:prn,197527,Clonazepam 0.5 MG Oral Tablet,clonazepam,1,ABOUT exact example
clonazepam 1.5 mg po qhs,197528,Clonazepam 1 MG Oral Tablet,clonazepam,1,ABOUT exact example
