file_id,record_index,char_len,line_count,has_numbered_sections,num_sections,num_lines,detected_main_sections,notes
1.txt,1,2942,54,True,16,54,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
2.txt,2,593,14,True,8,14,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
3.txt,3,4428,140,True,14,140,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
4.txt,4,2246,36,True,13,36,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
5.txt,5,1420,41,True,11,41,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
6.txt,6,584,10,True,5,10,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
7.txt,7,2308,45,True,15,45,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
8.txt,8,964,9,False,4,9,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
9.txt,9,1069,26,True,10,26,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
10.txt,10,784,22,True,8,22,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
11.txt,11,514,16,True,6,16,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
12.txt,12,1210,29,True,12,29,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
13.txt,13,2572,43,True,12,43,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
14.txt,14,798,17,True,6,17,CURRENT_HISTORY|PAST_HISTORY,
15.txt,15,281,8,True,5,8,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
16.txt,16,2286,55,True,16,55,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
17.txt,17,1983,53,True,13,53,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
18.txt,18,833,14,True,11,14,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
19.txt,19,1216,26,True,13,26,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
20.txt,20,3007,61,True,17,61,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
21.txt,21,520,10,True,7,10,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
22.txt,22,379,8,True,7,8,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
23.txt,23,2878,32,True,6,32,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
24.txt,24,1361,34,True,10,34,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
25.txt,25,440,7,True,5,7,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
26.txt,26,378,8,True,6,8,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
27.txt,27,1368,36,True,11,36,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
28.txt,28,2422,45,True,15,45,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
29.txt,29,373,12,True,6,12,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
30.txt,30,1517,34,True,11,34,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
31.txt,31,196,3,False,1,3,CURRENT_HISTORY,few_main_sections
32.txt,32,2326,31,True,5,31,CURRENT_HISTORY|PAST_HISTORY,
33.txt,33,1627,42,True,12,42,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
34.txt,34,1377,31,True,10,31,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
35.txt,35,1725,49,True,14,49,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
36.txt,36,2420,48,True,15,48,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
37.txt,37,1739,43,True,10,43,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
38.txt,38,1133,33,True,11,33,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
39.txt,39,670,24,True,10,24,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
40.txt,40,1752,46,True,12,46,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
41.txt,41,3347,56,True,15,56,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
42.txt,42,925,25,True,10,25,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
43.txt,43,1508,30,True,10,30,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
44.txt,44,1980,71,True,12,71,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
45.txt,45,993,19,True,10,19,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
46.txt,46,616,16,True,9,16,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
47.txt,47,2984,33,True,11,33,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
48.txt,48,2762,52,True,10,52,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
49.txt,49,1275,25,True,5,25,CURRENT_HISTORY,few_main_sections
50.txt,50,2073,43,True,12,43,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
51.txt,51,1311,36,True,11,36,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
52.txt,52,989,20,True,7,20,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
53.txt,53,1229,31,True,11,31,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
54.txt,54,2956,73,True,16,73,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
55.txt,55,136,7,True,4,7,CURRENT_HISTORY|HOSPITAL_ASSESSMENT,
56.txt,56,1499,32,True,10,32,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
57.txt,57,373,9,True,7,9,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
58.txt,58,2931,76,True,15,76,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
59.txt,59,2126,36,True,13,36,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
60.txt,60,879,14,True,7,14,CURRENT_HISTORY|HOSPITAL_ASSESSMENT|PAST_HISTORY,
